,index,Usuario,Titulo,Tipo,Descripcion,Año de lanzamiento,Clasificacion por edad,Duracion,imdb_usuario,imdb_puntuacion,imdb_votos
322,322.0,tm57190,The One,MOVIE,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,2001,PG-13,87,tt0267804,5,91584
323,323.0,tm37546,Happy Feet,MOVIE,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",2006,PG,108,tt0366548,6,182612
326,326.0,tm89592,Blade: Trinity,MOVIE,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existedâ€”The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting himâ€”the original vampire, Dracula.",2004,R,106,tt0359013,5,175210
329,329.0,tm88045,How Do You Know,MOVIE,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",2010,PG-13,121,tt1341188,5,49599
330,330.0,tm111600,The Sweetest Thing,MOVIE,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away.",2002,R,84,tt0253867,5,58516
332,332.0,tm31187,The Other Boleyn Girl,MOVIE,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.",2008,PG-13,115,tt0467200,6,111694
333,333.0,tm141390,Friday the 13th,MOVIE,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,2009,R,97,tt0758746,5,105938
335,335.0,tm150214,Freddy vs. Jason,MOVIE,"In an attempt to free himself from a state of forgotten limbo, evil dream-demon Freddy Krueger devises a plan to manipulate un-dead mass murderer Jason Voorhees  into slicing-and-dicing his way through the teenage population of Springwood.  But when the master of dreams loses control of his monster, a brutal fight to the death is the only way out.",2003,R,97,tt0329101,5,117986
336,336.0,ts21544,Transformers: Prime,SHOW,"Roll out with Optimus Prime, Bumblebee, Arcee, Ratchet, Bulkhead, and the rest of the heroic Autobots as they battle the evil Decepticons. Now that big bad Megatron has returned with a mysterious and dangerous element, Team Prime must prepare for an epic battle.",2010,TV-Y7,22,tt1659175,7,6500
338,338.0,tm102337,A Nightmare on Elm Street,MOVIE,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",2010,R,95,tt1179056,5,99192
339,339.0,tm36188,Body of Lies,MOVIE,"The CIAâ€™s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agencyâ€™s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky â€“ a satellite link â€“ watches Ferris.  At the other end of that real-time link is the CIAâ€™s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",2008,R,128,tt0758774,7,224896
340,340.0,tm88382,A Cinderella Story,MOVIE,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",2004,PG,95,tt0356470,5,86395
342,342.0,tm47523,Osmosis Jones,MOVIE,"A white blood cell policeman, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",2001,PG,95,tt0181739,6,35711
343,343.0,tm24088,Scary Movie 4,MOVIE,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",2006,PG-13,83,tt0362120,5,120188
345,345.0,tm177068,Fun with Dick and Jane,MOVIE,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",2005,PG-13,90,tt0369441,6,143998
346,346.0,tm82442,TMNT,MOVIE,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",2007,PG,87,tt0453556,6,64062
347,347.0,tm90864,Due Date,MOVIE,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010,R,95,tt1231583,6,339626
348,348.0,tm101249,Cop Out,MOVIE,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar oppositesâ€”especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backupâ€”except for each other.",2010,R,107,tt1385867,5,87673
350,350.0,ts24028,Still Game,SHOW,Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang.,2002,TV-14,29,tt0281491,8,7539
354,354.0,ts21740,Black Butler,SHOW,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of Englandâ€™s guard dog and looking for his parents murders.",2008,TV-MA,25,tt1316554,8,1856
356,356.0,tm89684,New York Minute,MOVIE,"Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involving a pursuing truant officer, a smuggler, hunkalicious guys and the girls' realization that when the chips are down, a sister can be the best friend of all.",2004,PG,87,tt0363282,4,23307
357,357.0,ts31514,Strawberry Shortcake,SHOW,"Strawberry and her friends, including her sister, Apple Dumplin', and her pony, Honey Pie, embark on sweet-smelling adventures in Strawberryland.",2003,TV-Y,23,tt7996132,7,13
358,358.0,ts22005,Total Drama Island,SHOW,"Reality TV meets animation in this parody in which twenty-two teens are sent to the most run-down and bug-infested summer camp known to reality TV producers. Split into teams, The Screaming Gophers take on The Killer Bass as they face challenges that get more insane each week.",2007,TV-PG,23,tt1173427,7,10523
359,359.0,tm183963,Dreamer: Inspired By a True Story,MOVIE,Ben Crane believes that a severely injured racehorse deserves another chance. He and his daughter Cale adopt the mare and save it from being sacrificed by the owner.,2005,PG,106,tt0487897,6,13034
360,360.0,tm27268,Monster House,MOVIE,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",2006,PG,91,tt0385880,6,114942
361,361.0,tm81270,Starsky & Hutch,MOVIE,"Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",2004,PG-13,101,tt0335438,6,145981
362,362.0,tm137342,Tears of the Sun,MOVIE,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",2003,R,121,tt0314353,6,121066
364,364.0,ts22318,Winx Club,SHOW,"In a magical universe, witches, warriors begin fighting in the name of good .vs. evil! At a magic school, five teenage girls are selected to defend the universe with their magic.",2004,TV-G,23,tt3233214,6,6700
365,365.0,tm161263,The Cave,MOVIE,"After a group of biologists discovers a huge network of unexplored caves in Romania and, believing it to be an undisturbed eco-system that has produced a new species, they hire the best American team of underwater cave explorers in the world. While exploring deeper into the underwater caves, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.",2005,PG-13,97,tt0403424,5,38445
366,366.0,ts12815,Big Time Rush,SHOW,"Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",2009,TV-G,25,tt1131746,6,12046
367,367.0,tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",2006,R,91,tt0420294,5,72366
369,369.0,tm31189,The Spiderwick Chronicles,MOVIE,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",2008,PG,96,tt0416236,6,94628
372,372.0,ts26322,Toradora!,SHOW,"RyÅ«ji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger."" One day, an embarrassing mistake causes the two students to cross paths. RyÅ«ji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, YÅ«saku Kitamura, who happens to be his best friend. But things only get crazier when RyÅ«ji reveals that he has a crush on Minori Kushiedaâ€”Taiga's best friend! Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.",2008,TV-14,30,tt1279024,8,14307
377,377.0,tm33113,Eagle Eye,MOVIE,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",2008,PG-13,118,tt1059786,6,185430
378,378.0,tm43399,Lagaan: Once Upon a Time in India,MOVIE,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",2001,PG,224,tt0169102,8,111053
379,379.0,tm147211,The Men Who Stare at Goats,MOVIE,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",2009,R,94,tt1234548,6,131564
381,381.0,tm29555,Friends with Money,MOVIE,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.",2006,R,88,tt0436331,5,30186
382,382.0,tm93225,Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",2010,PG,100,tt1219342,6,82623
385,385.0,ts21421,Pocoyo,SHOW,"Pocoyo is a Spanish pre-school animated television series created by Guillermo GarcÃ­a CarsÃ­, Luis Gallego and David Cantolla, and is a co-production between Spanish producer Zinkia Entertainment, Cosgrove-Hall Films and Granada International. Two series have been produced, each consisting of 52 seven-minute episodes. English actor and comedian Stephen Fry narrates the English-language version and JosÃ© MarÃ­a del RÃ­o narrates the Castilian Spanish version.

Set in a 3D space, with a plain white background and usually no backdrops, it is about Pocoyo, a 3-year-old boy, interacting with his friends Pato, Elly and Loula. Viewers are encouraged to recognise situations that Pocoyo is in, and things that are going on with or around him. The narrator usually speaks explicitly to the viewers and to the characters as well. Each character has its own distinctive dance and also a specific sound, and most episodes end with the characters dancing. Many episodes also involve parties.

In the United Kingdom, it was originally broadcast on CITV, a children's strand on the ITV network. In September 2007, Channel 5 acquired terrestrial rights in the United Kingdom to the first and second series, making it part of the Milkshake! strand. The show, however, will continue to air on the CITV Channel. Other broadcasters in the English speaking countries include RTÃ‰ in the Republic of Ireland, Nick Jr. in the U.S. nationwide and local station KCET-TV as well as KLCS-TV channel 58-2 in Los Angeles and on Univision in LATAM Spanish, Treehouse TV in Canada, ABC in Australia and TVNZ in New Zealand.",2005,TV-G,11,tt0487849,3,93
391,391.0,tm141707,Blood and Bone,MOVIE,"In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",2009,R,93,tt0346631,6,33051
394,394.0,tm83786,Like Stars on Earth,MOVIE,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",2007,PG,165,tt0986264,8,188234
397,397.0,ts20544,Ouran High School Host Club,SHOW,"Ouran High is a school for the extremely wealthy or, in Haruhi's case, the extremely talented. But no amount of talent will help when Haruhi accidentally drops an eight million yen vase in a music room. The vase was the property of Ouran High School Host Club, a group of attractive young men who, for a fee, provide their time and affections for their lovesick clientele: the female students. Fascinated by this strange new specimen, a poor and clumsy commoner, they force Haruhi to work for them until the debt is repaid; but they get a lot more than they bargained for...",2006,TV-14,23,tt0816397,8,9763
398,398.0,tm27168,Felon,MOVIE,A family man convicted of killing an intruder must cope with life afterward in the violent penal system.,2008,R,103,tt1117385,7,78039
399,399.0,ts40702,The Ultimatum,SHOW,"The Ultimatum is a Singaporean Chinese drama which was telecasted on Singapore's free-to-air channel, MediaCorp Channel 8. It made its debut on 27 May 2009 and ended on the date 7 July 2009. This drama serial consists of 30 episodes, and was screened on every weekday night at 9:00 pm.

Being the mid-year Channel 8 blockbuster of 2009, it was the first Channel 8 drama to be fully filmed in HD.

Despite being touted as the 2009 blockbuster of the year and featuring many established actors and actresses like Zoe Tay, Li Nanxing and Fann Wong, the show's reception was lukewarm at best. Many viewers faulted the serial for improbable casting and for a lack of originality in certain parts of the scripting. The series also came under harsh criticism for being overly melodramatic. However, the performance of newcomers such as Jerry Yeo, who played an antagonist for the first time, were widely praised.",2009,TV-14,44,tt1682704,5,6
400,400.0,ts30288,Mobile Suit Gundam Unicorn,SHOW,"The series begins in U.C. 0001, at the very beginning of human space colonization, when a space colony called Laplace is destroyed during a ceremony hosted by the Federation's Prime Minister ushering in the Universal Century dating system. The main story takes place in UC 0096, sixteen years after the end of the One Year War, three years after the events of Mobile Suit Gundam: Char's Counterattack, and 27 years before Mobile Suit Gundam F91.

The story revolves around Banagher Links, a seemingly normal boy living and going to school in the space colonies. His life changes one day when he meets a girl named Audrey Burne, as the encounter brings him into contact with a new Gundam and its connections to an item called ""Laplace's Box.""",2010,TV-14,35,tt1630623,7,1291
401,401.0,tm114476,Stuart Little 2,MOVIE,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.",2002,G,78,tt0243585,5,53746
403,403.0,ts12701,Code Lyoko,SHOW,"Code Lyoko centers on four children who travel to the virtual world of Lyoko to battle against a sentient artificial intelligence named XANA, with a virtual human called Aelita.",2003,TV-G,24,tt0417311,7,5109
405,405.0,ts21695,Iris,SHOW,"Two friends, members of the South Korean military, are recruited by a secret black ops agency.",2009,TV-14,61,tt1399791,7,1951
407,407.0,ts1893,Ben & Holly's Little Kingdom,SHOW,The friendship between fairy princess Holly and Ben Elf in an enchanted magical kingdom of elves and fairies.,2009,TV-G,14,tt1436544,7,1222
408,408.0,ts20535,The Garfield Show,SHOW,"Your favorite lazy, fat cat is at it again. Garfield, Odie, Jon and the rest of the gang are back for more funny misadventures. Whether he's scarfing down lasagna or tricking Nermal the kitten, Garfield is guaranteed to crack you up. But remember: He hates Mondays!",2009,TV-G,17,tt1470837,5,2499
409,409.0,tm160800,Chaos,MOVIE,"In Seattle, detective Quentin Conners is unfairly suspended and his partner Jason York leaves the police force after a tragic shooting on Pearl Street Bridge, when the hostage and the criminal die. During a bank heist with a hostage situation, Conners is assigned in charge of the operation with the rookie Shane Dekker as his partner. The thieves, lead by Lorenz, apparently do not steal a penny from the bank. While chasing the gangsters, the police team disclose that they planted a virus in the system, stealing one billion dollars from the different accounts, using the principle of the Chaos Theory. Further, they find that Lorenz is killing his accomplices.",2005,R,106,tt0402910,6,54633
410,410.0,ts38159,Wakfu,SHOW,"Follow Yogu and his friends Amalia, Evangelyne, Tristepin, Ruel and Az as they try to rescue the world of Wakfu from destruction.",2008,TV-Y7,22,tt1807824,8,1469
413,413.0,tm112381,Comedian,MOVIE,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",2002,R,82,tt0328962,6,6948
414,414.0,tm71119,Delta Farce,MOVIE,"Three bumbling Army reservists are hustled onto a plane headed for combat in Iraq -- but the fact that the plane drops them in Mexico doesn't stop them from ""liberating"" what they believe to be the Middle East.",2007,PG-13,90,tt0800003,3,11138
415,415.0,tm134235,One Piece: Strong World,MOVIE,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",2009,PG-13,114,tt1485763,7,5382
416,416.0,tm86995,Christmas with the Kranks,MOVIE,"When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair call son Christmas Eve to announce a surprise visit with her new fiancÃ©e, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!",2004,PG,99,tt0388419,5,49090
418,418.0,tm137530,Love Happens,MOVIE,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",2009,PG-13,109,tt4809870,5,32837
419,419.0,ts25765,Vampire Knight,SHOW,"Yuki Cross, along with her best friend Zero, attempts to keep the peace between humans and vampires at Cross Academy, but personal issues soon threaten the situation.",2008,TV-14,25,tt1209393,7,5172
420,420.0,ts3666,Den-noh Coil,SHOW,"DennÅ Coil, Coil â€” A Circle of Children, is a Japanese science fiction anime television series depicting a near future where semi-immersive augmented reality technology has just begun to enter the mainstream. The series takes place in the fictional city of Daikoku, a hotbed of AR development with an emerging city-wide virtual infrastructure. It follows a group of children as they use AR glasses to unravel the mysteries of the half real, half Internet city, using a variety of illegal software tools, techniques, and virtual pets to manipulate the digital landscape.

DennÅ Coil, in development for over a decade, is the series director debut of Japanese animator Mitsuo Iso. It premiered on NHK Educational TV on May 12, 2007. Due to the animators involved in its production and its unusually high-profile television broadcast time slot, DennÅ Coil was highly anticipated.",2007,TV-Y7,25,tt1033796,7,863
423,423.0,tm36475,Kabhi Khushi Kabhie Gham,MOVIE,"Rahul, the adoptive son of business magnate Yash Raichand, feels eternal gratitude to his father for rescuing him from a life of poverty. Yet, when Yash forbids his love of poor Anjali, Rahul marries her and moves to London with new wife and sister-in-law, breaking the heart of his mother. Ten years later, Rahul's younger brother comes to London intent on brokering peace between father and son.",2001,G,210,tt0248126,7,48818
424,424.0,tm80059,Naruto Shippuden the Movie,MOVIE,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",2007,PG-13,94,tt0988982,6,4016
426,426.0,tm30289,Jeff Dunham: Arguing with Myself,MOVIE,"A recorded live performance of ventriloquist Jeff Dunham portrays a comedian whose revival of an old-fashioned art has made ventriloquism more relevant to modern societal concerns. Starring his six main characters, from Bubba Jay, a Nascar-obsessed hick, to Peanut, a flamboyant gay monkey, Dunhamâ€™s puppets have dirty but inoffensive senses of humor that mock the American Dream.",2006,PG-13,76,tt0806102,8,3984
427,427.0,tm38896,From Within,MOVIE,"When the citizens of a small evangelical town systematically begin committing suicide, a young girl struggling to reconcile her Christian upbringing with her desire to experience the outside world finds her faith put to the ultimate test.",2008,R,89,tt1063056,5,7585
428,428.0,tm29269,Jodhaa Akbar,MOVIE,"Jodhaa Akbar is a sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal Emperor, Akbar and a Rajput princess, Jodhaa.",2008,PG-13,213,tt0449994,7,32188
429,429.0,tm156001,And Then Came Lola,MOVIE,"A talented, but distracted photographer, Lola, on the verge of success in both love and work, could lose it all if she doesn't make it to a crucial meeting on time. But, as usual, Lola is late. With her job and girlfriend on the line, she has three chances to make it right. In a desperate race through the streets and back rooms of San Francisco, time grows short-will Lola make it? Will she come at all? With a pop sensibility that mixes live action, animation and still photography, And Then Came Lola explores love's age old question in a fresh new way, ""If you try, try again, will you finally get it right?"" (Written by M. Siler and E. Seidler)",2009,PG,71,tt1123894,3,1683
430,430.0,ts21664,One on One,SHOW,"A sportscaster becomes a full-time dad when his ex-wife decides to accept a job out of the country and his teenage daughter, Breanna, moves in with him.",2001,TV-14,20,tt0284770,7,2303
431,431.0,tm73058,Om Shanti Om,MOVIE,"Om, a junior film artist, is smitten by Shantipriya, a renowned actress, but is killed while trying to save her from a fire accident. Thirty years later, he is reborn and sets out to avenge her death.",2007,PG,162,tt1024943,6,42597
433,433.0,ts1464,The Cartel,SHOW,"The Cartel follows ten friends, all of them members of a dangerous drug cartel, whose ambition for power and money will cause them to eventually kill each other. For it is an undeniable truth that, in this business, you always lose.",2008,TV-MA,44,tt1260520,8,755
435,435.0,tm33981,Bon Cop Bad Cop,MOVIE,"When the body of the executive of hockey Benoit Brisset is found on the billboard of the border of Quebec and Ontario, the jurisdiction of the crime is shared between the two police forces and detectives David Bouchard from Montreal and Martin Ward from Toronto are assigned to work together. With totally different styles, attitudes and languages.",2006,PG-13,116,tt0479647,6,61
436,436.0,tm80339,Naruto: Ninja Clash in the Land of Snow,MOVIE,"Naruto is thrilled when he is sent on a mission to protect his favorite actress, Yukie Fujikaze, on the set of her new movie, The Adventures of Princess Gale. But when the crew ventures out to film in the icy, foreboding Land of Snow, Yukie mysteriously flees! Naruto and his squad set off to find her... unaware that three Snow Ninja lie in wait, with a sinister purpose that will force Yukie to face her hidden past!",2004,PG-13,82,tt0476680,6,6759
437,437.0,ts72322,The Mafia Dolls,SHOW,"Las MuÃ±ecas De La Mafia is a 2009 Colombian telenovela produced by BE-TV and broadcast by Caracol TV. It's based on Juan Camilo Ferrand and Andres Lopez's book ""Las FantÃ¡sticas"". They also wrote the scripts for the television series. The telenovela will debut soon on the Telefutura Network. Series debuted on May 3, 2010 after the Vecinos finale. The show ended July 2010 in the U.S.

It talks about the story of Brenda, Olivia, Violeta, Renata and Pamela. They get into trouble throughout the series because they get involved with some mafia guys from ""El Carmen"" in Colombia.They all have sad endings. Pamela immigrates, at the end of the story, to the United States of America to try to get away from trouble and be close to her father, who was a pilot and end up in jail because he was captured by DEA taking cocaine to U.S in a plain, and ends up as a maid but tells Brenda she is happy and having a great life. Olivia ends up in jail for having a fake wedding with a Braulio Bermudez and getting some of his properties. Violeta dies when the two mafia opposite sides were going to end a war that was going on in between them.Renata also dies because she was force by erick, to pay money she owe him, to carry drugs in her stomach to the United States and no one of her loved ones knew because she had no identification on her. Brenda ends up being pregnant by Braulio, she never saw him again, because he was taken to an US jail. This is a very exiting story to see and it shows how easy life is never a good choice, might be nice and easy at the beginning but some day all ends.",2009,TV-14,43,tt1585368,6,284
439,439.0,tm165259,I Will Follow,MOVIE,"Chronicles a day in the life of a grieving woman, and the twelve visitors who help her move forward.",2010,PG-13,76,tt1624426,5,865
440,440.0,tm97544,Alpha and Omega,MOVIE,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",2010,PG,88,tt1213012,5,14272
441,441.0,tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,MOVIE,"A re-telling of the Alabaster Arc from One Piece (TV). Luffy and his crew come to rescue a land in the midst of a civil war, due to a powerful devil fruit user.",2007,PG-13,90,tt1037116,6,1611
443,443.0,tm22342,Waist Deep,MOVIE,An ex-convict (Tyrese) gets tangled up with a gang after his car is hijacked with his son inside.,2006,R,97,tt0456020,5,9957
444,444.0,tm24576,Naruto: Guardians of the Crescent Moon Kingdom,MOVIE,"Naruto Uzumaki, Kakashi Hatake, Sakura Haruno, and Rock Lee are assigned to protect the prince of the Land of the Moon, Michiru, during his world trip; other escorts had been hired, but quit due to being treated poorly. The Land of the Moon is a very wealthy nation, so Michiru tends to buy whatever he wants, and has a very materialistic worldview. His Hikaru, also acts in much the same manner.",2006,PG-13,95,tt1071815,6,3975
445,445.0,tm41508,First Sunday,MOVIE,"Durell and LeeJohn are best friends and bumbling petty criminals. When told they have one week to pay a $17,000 debt or Durell will lose his son, they come up with a desperate scheme to rob their neighborhood church. Instead, they end up spending the night in the presence of the Lord and are forced to deal with much more than they bargained for.",2008,PG-13,96,tt0486578,4,10834
446,446.0,ts74928,Einsatzgruppen: The Nazi Death Squads,SHOW,"This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.",2009,TV-14,44,tt6953928,7,603
448,448.0,tm170873,My Suicide,MOVIE,"After declaring that he's going to film himself committing suicide for a school project, Archie videotapes his surprising interactions with worried family members, interested classmates, unreliable medical experts and the hottest girl in school.",2009,R,107,tt0492896,7,1936
453,453.0,tm177687,Naruto: Legend of the Stone of Gelel,MOVIE,"Naruto, Shikamaru, and Sakura are executing their mission of delivering a lost pet to a certain village. However, right in the midst of things, troops led by the mysterious knight, Temujin, attack them. In the violent battle, the three become separated. Temujin challenges Naruto to a fight and at the end of the fierce battle, both fall together from a high cliff...",2005,PG-13,96,tt0791188,6,4297
455,455.0,ts98252,Dreamworks Happy Holidays from Madagascar,SHOW,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.,2005,TV-PG,0,tt6929194,6,96
